id,name,category,add,latitude,longitude,num,cate_num,현대카드_가맹여부
7498,수지한의원,(한의원/한의원),경기도 용인시 수지구 풍덕천동 1080-7번지,37.32235393,127.094974,5392601074,4212,가맹
7499,밧데리할인매장,(차량부품.용품/차량부품.용품),경기도 용인시 수지구 풍덕천동 677-9번지,37.33205593,127.1011869,1562800888,6501,비가맹
7500,응응스크르 용인죽전점,(편의점/편의점),경기도 용인시 수지구 죽전동 1177-4번지,37.33196464,127.1228268,1580101979,5202,가맹
7501,(주)아이스마일,(기타서비스/기타서비스),경기도 용인시 수지구 죽전동 1205-3번지,37.33150877,127.1212036,3908602263,9602,비가맹
7502,박선장네 죽전점,(일반음식점/일반음식점),경기도 용인시 수지구 죽전동 1188-5번지,37.33188953,127.1275682,5606800365,2301,비가맹
7503,지코바 동천점,(치킨전문점/치킨전문점),경기도 용인시 수지구 동천동 344-2번지,37.33797659,127.0928242,1866300497,2309,가맹
7504,케이와이필름(KY FILM),(기타서비스/기타서비스),경기도 용인시 수지구 성복동 752번지 성동마을수지자이아파트,37.32166424,127.068172,5191801435,9602,비가맹
7505,타이거 수지,(커피전문점/커피전문점),경기도 용인시 수지구 동천동 899번지,37.33825017,127.101696,5332001550,2502,가맹
7506,메가엠지씨커피수지아이조움점,(커피전문점/커피전문점),경기도 용인시 수지구 성복동 33-5번지,37.31071617,127.0817766,1827000440,2502,가맹
7507,바바,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 705-4번지,37.32516032,127.0958732,5602901458,2301,가맹
7508,사진 반하다,(사진관.현상소/사진관.현상소),경기도 용인시 수지구 상현동 1117-5번지,37.29733798,127.068785,1420981159,8113,가맹
7509,고운맘산후관리,(기타서비스/기타서비스),경기도 용인시 수지구 상현동 832번지,37.3040072,127.0810352,4179192730,9602,비가맹
7510,(주)종로문구,"(문구,사무용품/문구,사무용품)",경기도 용인시 수지구 죽전동 1328-4번지,37.3237588,127.1246511,1068622887,8102,비가맹
7511,자성화맛집코다리네,(일반음식점/일반음식점),경기도 용인시 수지구 성복동 70-1번지,37.31305001,127.0790213,1634900260,2301,가맹
7512,홍박사생고기,(일반음식점/일반음식점),경기도 용인시 수지구 상현동 1127-2번지,37.29861691,127.0734715,1420897687,2301,가맹
7513,책나무수지신봉독서논술학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 신봉동 935-11번지,37.329928,127.0701114,8689501755,7201,가맹
7514,한국샷시부속,(기타건축자재/기타건축자재),경기도 용인시 수지구 풍덕천동 732번지,37.32584943,127.0997185,1420922922,3403,가맹
7515,엠제이모바일(MJmobile),(통신기기/통신기기),경기도 용인시 수지구 풍덕천동 1047-1번지,37.31994,127.0876621,1420937459,3202,비가맹
7516,싸다폰,(통신기기/통신기기),경기도 용인시 수지구 상현동 1117번지,37.29851993,127.0690942,5421601260,3202,가맹
7517,현대세탁,(세탁업/세탁업),경기도 용인시 수지구 상현동 851번지,37.30485094,127.0851379,1420581563,1301,가맹
7518,헤어체인지,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 풍덕천동 703번지,37.32619081,127.0967255,1420979615,1602,가맹
7519,헤어cat(캣),(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 죽전동 1335-2번지,37.32424665,127.1249986,8432001592,1602,비가맹
