id,name,SH
7203,경희휴한의원,1
6172,계림원 용인수지점,1
1353,고고식당,1
7738,고공수스터디카페 풍덕천동점,1
4046,고구려대장간,1
4111,고급양식,0
6210,고기동민박,1
6503,고기동황금쉼터,1
6926,고기로426,1
5771,고기를  품다,0
2523,고기리 만선호,1
2235,고기리금잔디,0
6853,고기리농원,1
3742,고기리-면,0
3109,고기에서 고기,1
7741,고담가든,1
6851,고등어학원,1
1859,고딕커피,1
3159,고래맥주창고 수지상현점,0
5906,고래별장 수지본점,1
2937,고래수학학원,1
908,고래심줄,1
485,고려가정의원,1
3574,고려대리더스태권도장,1
6828,고려메디웰의원,1
724,고려밥상,1
4302,고려수지침용인수지지회,1
835,고려철물,1
5772,고르다(gorda),1
1125,고르제(GORGEE),1
864,고릴라주짓수,0
7056,고릴라크루댄스학원,0
5266,고메김밥,0
5976,고반식당 광교상현역점,1
5578,고봉민김밥용인죽전새터점,1
6819,고봉민김밥인 (용인수지구청점),0
3512,고봉민김밥인 용인동천점,1
1202,고봉민김밥인(광교역점),0
6254,고봉민김밥인성복점,0
722,고봉민김밥인용인신봉점,0
7671,고삐251,0
5111,고센돈까스,1
211,고수의운전면허수지구청역점(주),0
5626,고수찜닭,1
4258,고씨4대명가,1
5170,고씨네카레,1
301,고엔스시,1
4136,고요헤드스파앤컬러,1
837,고우리음악학원,1
1026,고운맘산후관리,1
3311,고운비단빔in윤슬한복,1
3844,고운치과의원,1
7590,고운피부,1
7257,고운피부관리실,1
3207,고원명차,1
7824,고은e치과,1
2648,고은푸드서비스,1
6890,고은하늘성형외과,1
3670,고인돌돌판구이,0
5729,고잉글리쉬프렙영어교습소,0
4520,고잉글리쉬프렙영어교습소,0
1153,고진사,1
5263,고트복싱(G O A T Boxing),0
3977,고피자 용인죽전점,1
3811,고향손칼국수,1
5007,고향손칼국수,1
158,고향정육점,1
156,고호치과,1
1761,곤지암할매소머리국밥,0
1851,골드기사식당,1
5035,골드피아,1
2879,골든벨악기사,1
7509,골목집,1
4395,골프답다 레슨스튜디오,1
2168,골프선수촌,1
4131,골프존파크 보정 지젤스크린,0
