시군명,상호명,업종명(종목명),소재지지번주소,우편번호,위도,경도,사업자등록번호,업종코드,가맹점번호,휴폐업상태,현대카드_가맹여부,현대카드_가맹여부_재검토
용인시,비티버거앤타코,(일반음식점/일반음식점),경기도 용인시 수지구 신봉동 82-4번지,16814.0,37.32425758,127.0774238,2502901605,2301,920709335,계속사업자,X,O
용인시,와이비엠브레이니영어교습소,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 풍덕천동 692-1번지 수지2차삼성래미안,16819.0,37.32673294,127.0918465,1429113393,7213,967691106,계속사업자,X,X
용인시,브로남성헤어전문,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 죽전동 1186-2번지,16876.0,37.33221427,127.1276456,5250303133,1602,915858501,계속사업자,X,O
용인시,또래오래 성복점,(치킨전문점/치킨전문점),경기도 용인시 수지구 성복동 33-5번지,16860.0,37.31071617,127.0817766,1772501108,2309,904896413,,X,X
용인시,그대는 봄,(민예품.공예품/민예품.공예품),경기도 용인시 수지구 풍덕천동 676-8번지,16829.0,37.332292,127.1016936,4205100531,8120,903910033,,X,X
용인시,더에이치복싱점,(기타취미.레저.스포츠/기타취미.레저.스포츠),경기도 용인시 수지구 신봉동 40-2번지,16815.0,37.32362315,127.0764567,2159275748,8310,960128502,계속사업자,X,X
용인시,숯불 꾸바로,(일반음식점/일반음식점),경기도 용인시 수지구 신봉동 43번지,16816.0,37.32385659,127.078724,3780300530,2301,984510214,계속사업자,X,X
용인시,지에스25 수지이현점,(편의점/편의점),경기도 용인시 수지구 상현동 32-1번지 한일코지세상,16928.0,37.31151763,127.0918836,1420983900,5202,917447105,,X,X
용인시,투달러커피 수지구청점,(커피전문점/커피전문점),경기도 용인시 수지구 풍덕천동 712-3번지,16837.0,37.3234112,127.0957471,4201102057,2502,911474816,,X,X
용인시,카페테이블,(일반음식점/일반음식점),경기도 용인시 수지구 신봉동 49-1번지,16816.0,37.32290451,127.0796774,4086006425,2301,920180834,,X,X
용인시,엠티엠수학학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 동천동 349-10번지 한화포레나수지동천,16824.0,37.34018557,127.0929929,4239901230,7201,907397237,계속사업자,X,O
용인시,두부장수,(식음료(기타)/식음료(기타)),경기도 용인시 수지구 신봉동 83번지,16814.0,37.32448171,127.0770839,1429083645,2310,961069176,,X,O
용인시,유니프레소,(커피전문점/커피전문점),경기도 용인시 수지구 풍덕천동 504-10번지,16843.0,37.31766602,127.0869522,4846300576,2502,914843561,계속사업자,X,O
용인시,쿡치킨,(치킨전문점/치킨전문점),경기도 용인시 수지구 고기동 244-5번지,16800.0,37.35789009,127.0510152,1700101299,2309,917623952,계속사업자,X,O
용인시,늘가축산물,"(축산물,정육점/축산물,정육점)",경기도 용인시 수지구 풍덕천동 710-6번지,16837.0,37.32462288,127.0968693,2649101620,2102,910134445,계속사업자,X,X
용인시,씨유 광교산힐스점,(편의점/편의점),경기도 용인시 수지구 신봉동 1025번지 힐스테이트광교산,16812.0,37.33352981,127.0690862,2094501062,5202,912343432,계속사업자,X,X
용인시,수지위너스풋볼아카데미,(기타취미.레저.스포츠/기타취미.레저.스포츠),경기도 용인시 수지구 상현동 345-5번지,16862.0,37.30498039,127.0758842,4948602153,8310,904905362,계속사업자,X,X
용인시,더리얼필라테스and요가,(기타취미.레저.스포츠/기타취미.레저.스포츠),경기도 용인시 수지구 동천동 114-5번지,16824.0,37.34670427,127.090869,3857900474,8310,916081814,,X,X
용인시,시오스,(화장품/화장품),경기도 용인시 수지구 상현동 30번지 진산마을성원상떼빌아파트,16927.0,37.31277206,127.0923169,1565200073,1501,980745277,계속사업자,X,X
용인시,지에스25 수지힐스점,(편의점/편의점),경기도 용인시 수지구 풍덕천동 1157번지,16842.0,37.3188187,127.0944512,1393701282,5202,912459360,계속사업자,X,X
용인시,글아띠국어,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 죽전동 339번지 도담마을죽전파크빌,16873.0,37.327645,127.1165951,6079361514,7213,919021726,계속사업자,X,X
용인시,유진수산,"(수산물,건어물/수산물,건어물)",경기도 용인시 수지구 죽전동 918번지,16865.0,37.33538806,127.1083827,2519900577,2103,902451591,계속사업자,X,X
용인시,김동철김밥,(일반음식점/일반음식점),경기도 용인시 수지구 상현동 54-5번지,16928.0,37.30934112,127.0880811,5774401314,2301,921827425,계속사업자,X,X
용인시,큐티멍,(커피전문점/커피전문점),경기도 용인시 수지구 신봉동 신봉지구 R2블록 1로트 지하1층,,,,1013234084,2502,980354617,계속사업자,X,X
용인시,카페프렌즈 다움,(기타식음료품/기타식음료품),경기도 용인시 수지구 상현동 866번지 광교상떼빌파크뷰,16941.0,37.30106523,127.077531,4832801585,2105,914085478,계속사업자,X,X
용인시,생선회관,(일식전문점/일식전문점),경기도 용인시 수지구 상현동 244-2번지,16939.0,37.305077,127.0827783,6760601657,2303,904638104,,X,X
용인시,MAZUKURI 마즈쿠리,(인터넷상거래/인터넷상거래),경기도 용인시 수지구 성복동 516-3번지,16806.0,37.31918483,127.058243,5461600638,5501,903352491,계속사업자,X,X
용인시,해법영어수지교습소,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 풍덕천동 664번지,16830.0,37.33295005,127.0963846,1429146593,7213,974101933,계속사업자,X,X
용인시,이해법수학상현LG자이점수학교,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 상현동 869번지,16930.0,37.30364719,127.088902,2709600830,7213,995097920,계속사업자,X,X
용인시,렛츠스터디카페,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 상현동 257-32번지,16930.0,37.30825614,127.0845549,6044162984,7213,909443773,계속사업자,X,O
