시군명,상호명,업종명(종목명),소재지지번주소,우편번호,위도,경도,사업자등록번호,업종코드,가맹점번호,휴폐업상태,현대카드_가맹여부
용인시,생활맥주,(일반주점/일반주점),경기도 용인시 수지구 풍덕천동 711-2번지,16837.0,37.32436777,127.0960693,2803100560,2601,994234938,계속사업자,X
용인시,야만족,(일반음식점/일반음식점),경기도 용인시 수지구 죽전동 1342-2번지,16889.0,37.32535495,127.1248689,4410501656,2301,904331577,계속사업자,X
용인시,네일킹,(기타잡화/기타잡화),경기도 용인시 수지구 상현동 252번지,16930.0,37.30608423,127.0846797,1810200486,1401,982006496,계속사업자,X
용인시,Shes,(일반의류/일반의류),경기도 용인시 수지구 동천동 873-3번지,16828.0,37.3359679,127.0932302,7421700742,1106,990719213,계속사업자,X
용인시,만우정,(기타식음료품/기타식음료품),경기도 용인시 수지구 죽전동 1003-588번지,16869.0,37.32907625,127.1077495,2124300629,2105,903512391,계속사업자,X
용인시,플로우어학원,(외국어학원/외국어학원),경기도 용인시 수지구 성복동 139번지,16850.0,37.3157925,127.0746159,5578102783,7202,914067385,계속사업자,X
용인시,용인대필승태권도장,(무수도장 등(학원)/무수도장 등(학원)),경기도 용인시 수지구 풍덕천동 522-2번지,16846.0,37.31650822,127.0832342,1359141042,7204,945970119,계속사업자,X
용인시,다산케어센터 용인이천지사,(기타서비스/기타서비스),경기도 용인시 수지구 죽전동 1191-1번지,16880.0,37.33150997,127.1244094,8359501677,9602,918822967,계속사업자,X
용인시,올림픽이용원,(이발소/이발소),경기도 용인시 수지구 상현동 252번지,16930.0,37.30608423,127.0846797,1231657296,1601,942473018,계속사업자,X
용인시,쿠키  오로지,(식음료(기타)/식음료(기타)),경기도 용인시 수지구 동천동 935번지 한빛마을래미안이스트팰리스1단지,16822.0,37.33693042,127.0874564,1671601303,2310,905478567,계속사업자,X
용인시,땡초 신 닭발,(일반음식점/일반음식점),경기도 용인시 수지구 신봉동 25-1번지,16815.0,37.32260316,127.0785843,8672001884,2301,915271622,계속사업자,X
용인시,L.T.S영어학원,(외국어학원/외국어학원),경기도 용인시 수지구 풍덕천동 1112번지,16843.0,37.31783691,127.0894342,2809900124,7202,979531357,계속사업자,X
용인시,그리고꿈꾸다미술학원,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 상현동 107-14번지,16859.0,37.3089315,127.0767309,5589100166,7213,987598752,계속사업자,X
용인시,소프틴,(침구및수예품/침구및수예품),경기도 용인시 수지구 성복동 155번지 성동마을엘지빌리지1차,16850.0,37.31747266,127.0756109,2098139284,1202,906927067,계속사업자,X
용인시,스트릿 팬케이크 카페 수지점,(일반음식점/일반음식점),경기도 용인시 수지구 동천동 884-6번지,16828.0,37.33334684,127.0964389,2933501296,2301,917950678,,X
용인시,제로모터스(ZEROMotors,(자동차정비/자동차정비),경기도 용인시 수지구 죽전동 1003-209번지,16869.0,37.32954248,127.104293,8983100565,6502,992291609,계속사업자,X
용인시,신탄진개인과외교습소,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 풍덕천동 690번지 동문아파트,16820.0,37.32915169,127.0901177,1429124814,7213,900946691,계속사업자,X
용인시,멘토르7스터디카페,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 죽전동 1197-1번지,16880.0,37.33146207,127.1235179,2020872673,7213,905854817,계속사업자,X
용인시,비지에프리테일,(편의점/편의점),경기도 용인시 수지구 죽전동 1279번지 도담마을,16874.0,37.32424548,127.1134294,1293390719,5202,8106045997,계속사업자,X
용인시,노래야노래야,(노래방/노래방),경기도 용인시 수지구 죽전동 1191-3번지,16880.0,37.33149406,127.1250755,1361263476,8402,986085959,계속사업자,X
용인시,야미박스,(일반음식점/일반음식점),경기도 용인시 수지구 성복동 90번지 성동마을엘지빌리지2차아파트,16849.0,37.31322388,127.077226,3210402320,2301,908731756,,X
용인시,광어한마리9900,(일반음식점/일반음식점),경기도 용인시 수지구 상현동 857번지 만현마을현대3차아파트 상가동.101-103호,16929.0,37.30984331,127.0847606,1351056702,2301,974255093,계속사업자,X
용인시,스튜디오 보정,(사진관.현상소/사진관.현상소),경기도 용인시 수지구 풍덕천동 715-2번지,16837.0,37.3246253,127.0975804,2281400871,8113,911513613,계속사업자,X
용인시,씨유 죽전고점,(편의점/편의점),경기도 용인시 수지구 죽전동 858-6번지 한솔노블빌리지,16867.0,37.33101322,127.1047368,1016100395,5202,996527263,,X
용인시,드림발달센터,(기타서비스/기타서비스),경기도 용인시 수지구 풍덕천동 1112번지 신정마을현대성우아파트,16843.0,37.3189657,127.0900263,8650801547,9602,906130910,계속사업자,X
용인시,포나인안경원,(안경.광학제품/안경.광학제품),경기도 용인시 수지구 죽전동 1254-3번지,16873.0,37.32846913,127.1150106,1420378308,1403,8104496233,계속사업자,X
용인시,지유명차,(기타식음료품/기타식음료품),경기도 용인시 수지구 풍덕천동 681-6번지,16829.0,37.33124761,127.0993851,1141640879,2105,973347511,계속사업자,X
용인시,엠 제이헤어,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 동천동 174-9번지,16825.0,37.34030483,127.0962324,1786500428,1602,907112685,계속사업자,X
용인시,508세컨밀,(커피전문점/커피전문점),경기도 용인시 수지구 상현동 12번지,16929.0,37.31272029,127.0877805,5824600612,2502,907010723,계속사업자,X
용인시,브레댄코,(커피전문점/커피전문점),경기도 용인시 수지구 동천동 146-1번지,16824.0,37.34496759,127.0943558,2131674832,2502,916982110,계속사업자,X
용인시,클럽에스제이,(예체능계열학원/예체능계열학원),경기도 용인시 수지구 동천동 658번지,16802.0,37.34778064,127.0592836,2110556939,7205,963462866,계속사업자,X
용인시,프리에르발레학원,(예체능계열학원/예체능계열학원),경기도 용인시 수지구 동천동 948번지,16822.0,37.33597205,127.0918191,8049501917,7205,918086142,계속사업자,X
용인시,미래음향,(기타수리.수선전문/기타수리.수선전문),경기도 용인시 수지구 죽전동 1190-3번지,16880.0,37.33140984,127.1269497,1420134155,3504,957299878,계속사업자,X
용인시,비비큐광교상현점,(치킨전문점/치킨전문점),경기도 용인시 수지구 상현동 1116-3번지,16944.0,37.29744417,127.0682428,3904601079,2309,919024266,계속사업자,X
용인시,현엘티이죽전점,(통신기기/통신기기),경기도 용인시 수지구 죽전동 1188-1번지,16876.0,37.33195808,127.126439,1420908070,3202,911493642,계속사업자,X
용인시,아소비교육,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 죽전동 1182번지 내대지마을건영캐스빌,16876.0,37.33300406,127.126558,1429088276,7213,902557108,계속사업자,X
용인시,카앤피플 용인 수지구 믿음점,(세차장/세차장),경기도 용인시 수지구 죽전동 89-1번지 현대아파트,16879.0,37.33145473,127.1297602,1590901930,6702,906095691,계속사업자,X
용인시,노랑통닭 수지구청점,(치킨전문점/치킨전문점),경기도 용인시 수지구 풍덕천동 711번지,16837.0,37.32405109,127.0957211,6532401658,2309,913408580,,X
용인시,링크소프트웨어,(기타서비스/기타서비스),경기도 용인시 수지구 동천동 899번지,16827.0,37.33825017,127.101696,8114700458,9602,911927359,계속사업자,X
용인시,와이비엠잉글루학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 동천동 344-2번지,16823.0,37.33797659,127.0928242,4129403965,7201,990172397,계속사업자,X
용인시,이투스24/7수지용인점학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 풍덕천동 1082-8번지,16841.0,37.32150903,127.0956783,5439000167,7201,979771342,계속사업자,X
용인시,엘르홈용인,(침구및수예품/침구및수예품),경기도 용인시 수지구 죽전동 881-8번지,16867.0,37.33248605,127.108522,5777200074,1202,986146298,계속사업자,X
용인시,족발애,(일반음식점/일반음식점),경기도 용인시 수지구 동천동 387-6번지,16823.0,37.33939957,127.095097,1432101354,2301,907166962,계속사업자,X
용인시,비앤아이영어학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 상현동 252번지,16930.0,37.30608423,127.0846797,2149701646,7201,909528508,계속사업자,X
용인시,사진가 조영상,(사진관.현상소/사진관.현상소),경기도 용인시 수지구 동천동 864번지 수진마을써니벨리아파트,16823.0,37.33710223,127.0928177,3605300081,8113,904026755,계속사업자,X
용인시,요커광교숲속마을점,(일반음식점/일반음식점),경기도 용인시 수지구 상현동 1158번지,16940.0,37.29800202,127.080493,2390702717,2301,918716169,계속사업자,X
용인시,도담퐁닭,(치킨전문점/치킨전문점),경기도 용인시 수지구 죽전동 452-6번지,16873.0,37.32716423,127.1128952,6022361888,2309,911955624,계속사업자,X
용인시,오븐에꾸운꼬꼬닭,(치킨전문점/치킨전문점),경기도 용인시 수지구 동천동 180-5번지,16825.0,37.34164738,127.1013958,2802200592,2309,989086707,,X
용인시,달곰과자점,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 698-2번지,16838.0,37.32496287,127.0934927,6033991033,2301,903986082,,X
용인시,인버디,(골프연습장/골프연습장),경기도 용인시 수지구 고기동 211-1번지,16801.0,37.35656241,127.0647765,1685300904,8309,920047181,계속사업자,X
용인시,부풀다,(제과.제빵/제과.제빵),경기도 용인시 수지구 풍덕천동 686-2번지,16829.0,37.33101413,127.0996459,7740300664,2501,984942706,,X
용인시,2H HAIR,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 풍덕천동 1080-9번지,16841.0,37.32253617,127.0955487,1420794039,1602,966218430,계속사업자,X
용인시,수시종합플랜비논술학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 풍덕천동 1082-6번지,16841.0,37.321688,127.0952936,1649300698,7201,994152791,계속사업자,X
용인시,J중국어학원,(외국어학원/외국어학원),경기도 용인시 수지구 풍덕천동 713-3번지,16837.0,37.32401743,127.0964211,3819500206,7202,978983138,,X
용인시,리드101수지상현어학원,(외국어학원/외국어학원),경기도 용인시 수지구 상현동 252번지,16930.0,37.30608423,127.0846797,1709301519,7202,907584396,계속사업자,X
용인시,스마트온어학,(외국어학원/외국어학원),경기도 용인시 수지구 풍덕천동 193-12번지,16923.0,37.31985739,127.0977074,5039311139,7202,976096826,계속사업자,X
용인시,몰입본능 관리형 스터디카페,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 풍덕천동 1080-1번지,16841.0,37.32183713,127.0940964,8860602909,7213,913389855,계속사업자,X
용인시,육일이공일이,(서양식전문점/서양식전문점),경기도 용인시 수지구 풍덕천동 722-4번지,16835.0,37.32358052,127.097823,2390103484,2305,920204261,계속사업자,X
용인시,지에스25죽전단국대점,(편의점/편의점),경기도 용인시 수지구 죽전동 1335-3번지,16889.0,37.32403058,127.1250787,2221614916,5202,918567638,계속사업자,X
용인시,영어발전소 영어교습소,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 풍덕천동 707-2번지,16837.0,37.32421965,127.0949301,7299701492,7213,920171163,,X
용인시,스터디앤카페 광교상현센타독서실,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 상현동 1117번지,16944.0,37.29851993,127.0690942,7443700635,7213,920704849,계속사업자,X
용인시,고기리농원,(일반음식점/일반음식점),경기도 용인시 수지구 고기동 626-4번지,16800.0,37.35585593,127.0423778,4540200157,2301,977531730,계속사업자,X
용인시,주박사고기주점,(일반주점/일반주점),경기도 용인시 수지구 동천동 371-5번지,16826.0,37.34039418,127.0986478,1420824767,2601,967617192,계속사업자,X
용인시,프루티,(식음료(기타)/식음료(기타)),경기도 용인시 수지구 상현동 1133-2번지,16943.0,37.2959902,127.0699661,8223400351,2310,987113792,계속사업자,X
용인시,보리원신봉점,(일반음식점/일반음식점),경기도 용인시 수지구 신봉동 33번지,16815.0,37.32317795,127.0779942,4563701173,2301,919521485,,X
용인시,깐부치킨,(치킨전문점/치킨전문점),경기도 용인시 수지구 죽전동 1188-1번지,16876.0,37.33195808,127.126439,4053800120,2309,981190275,계속사업자,X
용인시,지에스리테일,(편의점/편의점),경기도 용인시 수지구 신봉동 940-5번지,16812.0,37.32911259,127.071448,3142902908,5202,8106368948,계속사업자,X
용인시,라온수학교습소,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 상현동 861번지,16930.0,37.30556429,127.0854951,2989500597,7213,990037848,계속사업자,X
용인시,엠앤제이수학국어학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 죽전동 589-24번지,16866.0,37.33330722,127.1115317,4799901607,7201,909453889,계속사업자,X
용인시,든든덮밥&곱도리 용인죽전점,(일반음식점/일반음식점),경기도 용인시 수지구 죽전동 1254-3번지,16873.0,37.32846913,127.1150106,4414701092,2301,921511144,계속사업자,X
용인시,화룡 냉면천국,(일반음식점/일반음식점),"경기도 용인시 수지구 상현동 30번지 진산마을성원상떼빌아파트 상가동 B07,08호",16927.0,37.31414382,127.0927948,2082999127,2301,905469871,계속사업자,X
용인시,달봉아이스크림,(기타식음료품/기타식음료품),경기도 용인시 수지구 상현동 1117-1번지,16944.0,37.29828541,127.0690504,2123327352,2105,907610704,계속사업자,X
용인시,"꿈꾸는솜사탕, 용인수지점",(식음료(기타)/식음료(기타)),경기도 용인시 수지구 상현동 66-2번지,16929.0,37.30946897,127.0859702,6682302050,2310,919518663,폐업자,X
용인시,노이,(일반음식점/일반음식점),경기도 용인시 수지구 신봉동 925번지,16813.0,37.32798892,127.0747955,3432100732,2301,989715719,계속사업자,X
용인시,씨유 죽전도담점,(편의점/편의점),경기도 용인시 수지구 죽전동 1253-4번지,16873.0,37.32892659,127.1170965,3735900361,5202,905373800,계속사업자,X
용인시,김치옥 성복역점,(일반음식점/일반음식점),경기도 용인시 수지구 성복동 89번지,16849.0,37.31341877,127.0787936,4162022527,2301,920451375,계속사업자,X
용인시,배부장찌개 수지구청점,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 705-6번지,16837.0,37.32533262,127.096177,1063465010,2301,916667133,,X
용인시,데일리원커피,(커피전문점/커피전문점),경기도 용인시 수지구 죽전동 1335-3번지,16889.0,37.32403058,127.1250787,3841000493,2502,983313248,,X
용인시,혜인당한의원,(한의원/한의원),경기도 용인시 수지구 신봉동 31번지,16815.0,37.32332889,127.07735,1359108043,4212,927678029,,X
용인시,프로젝트엠,(교육및교구/교육및교구),경기도 용인시 수지구 동천동 349-10번지 한화포레나수지동천,16824.0,37.34018557,127.0929929,3388802425,7303,917518616,계속사업자,X
용인시,그레이스헤어(GRACEHA,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 죽전동 1205-2번지,16880.0,37.33153469,127.1208535,6550300174,1602,977778562,계속사업자,X
용인시,약손경락,(화장품/화장품),경기도 용인시 수지구 성복동 162-2번지,16850.0,37.31547945,127.0752948,2630401006,1501,991833005,계속사업자,X
용인시,파스타하우스,(일반음식점/일반음식점),경기도 용인시 수지구 죽전동 1323-1번지,16889.0,37.32325253,127.1241796,7710102015,2301,906139317,계속사업자,X
용인시,리드인독서논술동천자이학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 동천동 121-3번지,16824.0,37.34539509,127.0928519,3749101359,7201,901866344,계속사업자,X
용인시,순남시래기용인수지점,(일반음식점/일반음식점),경기도 용인시 수지구 성복동 168-10번지 성복역서희스타힐스,16852.0,37.31568138,127.0712985,6370801199,2301,994872232,계속사업자,X
용인시,한올지다,(일반의류/일반의류),경기도 용인시 수지구 상현동 1131-7번지,16943.0,37.2968449,127.0695212,8581401744,1106,912740785,폐업자,X
용인시,삼호타일,(기타건축자재/기타건축자재),경기도 용인시 수지구 풍덕천동 743-2번지,16833.0,37.32646127,127.102063,7816200413,3403,901937947,계속사업자,X
용인시,고트복싱,(무수도장 등(학원)/무수도장 등(학원)),경기도 용인시 수지구 상현동 1116-1번지,16944.0,37.29801253,127.0683749,1229321234,7204,914466447,계속사업자,X
용인시,또또꼬마김밥,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 712-3번지,16837.0,37.3234112,127.0957471,8443501721,2301,920753010,계속사업자,X
용인시,팩토수학공부방,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 동천동 938번지 한빛마을래미안이스트팰리스2단지,16822.0,37.3357563,127.0893819,1099200715,7213,989823711,,X
용인시,더리듬음악학원,(예체능계열학원/예체능계열학원),경기도 용인시 수지구 성복동 278-1번지,16853.0,37.31680607,127.0682562,3789401390,7205,921391232,계속사업자,X
용인시,씨투베이커리 동네빵집,(제과.제빵/제과.제빵),경기도 용인시 수지구 신봉동 43-3번지,16816.0,37.3240163,127.0780121,8928802685,2501,912551612,계속사업자,X
용인시,다온수학학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 풍덕천동 707번지,16837.0,37.32451633,127.0947028,2059101558,7201,906262374,,X
용인시,라스트춘선 수지구청역점,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 709-3번지,16837.0,37.32479176,127.0961686,2523101579,2301,916680813,,X
용인시,맨보이,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 동천동 105-3번지 동천자이아파트,16824.0,37.34588402,127.0908735,2844101177,1602,916490080,계속사업자,X
용인시,지에스25 수지상록점,(편의점/편의점),경기도 용인시 수지구 풍덕천동 1028번지,16844.0,37.31835957,127.0868017,8022202065,5202,921532439,계속사업자,X
용인시,GS25죽전동성점,(편의점/편의점),경기도 용인시 수지구 죽전동 501번지 동성1차아파트,16868.0,37.33058311,127.1109475,1351581792,5202,993568328,계속사업자,X
용인시,수지 소주맥주광장,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 743-5번지,16833.0,37.32628925,127.1018382,3816200682,2301,919713900,,X
용인시,HOI CAKE,(커피전문점/커피전문점),경기도 용인시 수지구 성복동 139번지,16850.0,37.3157925,127.0746159,3210202461,2502,911817923,계속사업자,X
용인시,지에스25 성복캐슬점,(편의점/편의점),경기도 용인시 수지구 성복동 819번지 성복역롯데캐슬클라시엘,16856.0,37.31371999,127.0723028,1694000590,5202,905891223,계속사업자,X
용인시,그릭베리,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 1082-5번지,16841.0,37.32155209,127.0950912,4012152593,2301,921624095,계속사업자,X
용인시,함께하는 수학공부방 WITHMATH,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 풍덕천동 1198번지 래미안수지이스트파크,16831.0,37.32943578,127.0993721,2249205270,7213,920654788,,X
용인시,이정헤어,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 상현동 1번지 성복역리버파크,16929.0,37.31386747,127.088474,6741500275,1602,980262562,,X
용인시,엠에스스퀘어 과학교습소,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 신봉동 33번지,16815.0,37.32317795,127.0779942,7569400591,7213,995555471,계속사업자,X
용인시,이마트24 수지써니벨리점,(편의점/편의점),경기도 용인시 수지구 동천동 336-3번지,16823.0,37.33779865,127.0935025,6541801058,5202,996777298,계속사업자,X
용인시,마켓25,(편의점/편의점),경기도 용인시 수지구 풍덕천동 708번지,16837.0,37.32445517,127.0952675,1420969664,5202,974534422,계속사업자,X
용인시,나는장어,(기타식음료품/기타식음료품),경기도 용인시 수지구 신봉동 126-1번지,16814.0,37.32518054,127.0733891,2890402521,2105,921588548,계속사업자,X
용인시,씨유 동천현대점,(편의점/편의점),경기도 용인시 수지구 동천동 325-478번지,16823.0,37.33790245,127.0974983,2180572681,5202,920742476,계속사업자,X
용인시,생각하는Y와이수학교습소,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 죽전동 1235번지 성현마을반도유보라,16883.0,37.32631935,127.1220084,7809201212,7213,901473570,계속사업자,X
용인시,블링네일샵,(피부.체형미관리/피부.체형미관리),경기도 용인시 수지구 죽전동 1165번지,16875.0,37.33233464,127.1229604,1420676693,1701,960607265,계속사업자,X
용인시,아이조아,(기타식음료품/기타식음료품),경기도 용인시 수지구 상현동 1220번지,16942.0,37.30030383,127.0713407,3853600948,2105,910903930,계속사업자,X
용인시,제이앤에이엠앤디학원,(예체능계열학원/예체능계열학원),경기도 용인시 수지구 신봉동 973번지,16811.0,37.32709397,127.0691003,8459102020,7205,918505646,계속사업자,X
용인시,비알코리아배스킨라빈스,(아이스크림전문점/아이스크림전문점),경기도 용인시 수지구 상현동 257-22번지,16930.0,37.30785998,127.0846813,1420133874,2503,938030756,계속사업자,X
용인시,씨유 동천현대점,(편의점/편의점),경기도 용인시 수지구 동천동 325-478번지,16823.0,37.33790245,127.0974983,2832701654,5202,915145511,,X
용인시,굿프렌즈 동물병원,(동물병원/동물병원),경기도 용인시 수지구 죽전동 915-3번지,16866.0,37.33512987,127.1093549,1293193764,8115,944314970,계속사업자,X
용인시,룩스투아 미술교습소,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 신봉동 1025번지 힐스테이트광교산,16812.0,37.33352981,127.0690862,3949601192,7213,915130851,,X
용인시,맑은하늘피아노,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 풍덕천동 1025번지,16844.0,37.31983888,127.0870983,8599700358,7213,902553172,,X
용인시,SushiH,(일식전문점/일식전문점),경기도 용인시 수지구 죽전동 1185-1번지,16876.0,37.33278224,127.1276767,1642800517,2303,990304131,,X
용인시,대인한의원,(한의원/한의원),경기도 용인시 수지구 죽전동 1174-1번지,16875.0,37.33176102,127.1183577,2279901267,4212,913996642,,X
용인시,정경아,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 동천동 875-2번지,16828.0,37.33535415,127.0929964,6039200712,7213,994602613,계속사업자,X
용인시,반석앤지와미,(화원.화초/화원.화초),경기도 용인시 수지구 동천동 485-6번지,16802.0,37.33833224,127.0836443,8553700819,8110,904958502,계속사업자,X
용인시,너싱홈한솔,(오양.보육.복지시설/오양.보육.복지시설),경기도 용인시 수지구 죽전동 1188-3번지,16876.0,37.33189658,127.1269473,1428030417,7301,967791278,계속사업자,X
